project,risk,status,compliance,report_count,has_schedule,scope,office,month,year,day,risk_previous1,risk_previous2,risk_previous3,project_risk_likelihood,estimated_days_finish,report_word_count,poa_word_count,manager_risk_likelihood,manager_project_count
cef4bf7ca97de5c84444b1a3feda73d65d506267,0.0,em andamento,0.6667,6,0,Estruturante,CENIN,10,2015,17.13932980599647,0,0,0,0.00625,206.8941798941799,66.3482280431433,24.486902927580893,0.014598540145985401,2
b8113633cf2b155502463f7108347a486910026a,0.0,cancelado,,0,0,Estruturante,CENIN,10,2015,17.13932980599647,0,0,0,0.0125,206.8941798941799,66.3482280431433,24.486902927580893,0.014598540145985401,2
cef4bf7ca97de5c84444b1a3feda73d65d506267,1.0,sem relatório,0.6667,6,0,Estruturante,CENIN,11,2015,17.13932980599647,0,0,0,0.005434782608695652,206.8941798941799,66.3482280431433,24.486902927580893,0.012422360248447204,2
b8113633cf2b155502463f7108347a486910026a,0.0,cancelado,,0,0,Estruturante,CENIN,11,2015,17.13932980599647,0,0,0,0.010869565217391304,206.8941798941799,66.3482280431433,24.486902927580893,0.012422360248447204,2
cef4bf7ca97de5c84444b1a3feda73d65d506267,0.0,em andamento,0.6667,6,0,Estruturante,CENIN,12,2015,31.0,1,0,0,0.00966183574879227,308.0,66.3482280431433,24.486902927580893,0.016304347826086956,2
b8113633cf2b155502463f7108347a486910026a,0.0,cancelado,,0,0,Estruturante,CENIN,12,2015,17.13932980599647,0,0,0,0.00966183574879227,206.8941798941799,66.3482280431433,24.486902927580893,0.016304347826086956,2
cef4bf7ca97de5c84444b1a3feda73d65d506267,0.0,em andamento,0.6667,6,0,Estruturante,CENIN,1,2016,28.0,0,0,0,0.008928571428571428,307.0,66.3482280431433,24.486902927580893,0.014925373134328358,2
b8113633cf2b155502463f7108347a486910026a,0.0,cancelado,,0,0,Estruturante,CENIN,1,2016,17.13932980599647,0,0,0,0.008928571428571428,206.8941798941799,66.3482280431433,24.486902927580893,0.014925373134328358,2
cef4bf7ca97de5c84444b1a3feda73d65d506267,0.0,sem relatório,0.6667,6,0,Estruturante,CENIN,2,2016,17.13932980599647,0,0,0,0.008620689655172414,206.8941798941799,66.3482280431433,24.486902927580893,0.014354066985645933,2
b8113633cf2b155502463f7108347a486910026a,0.0,cancelado,,0,0,Estruturante,CENIN,2,2016,17.13932980599647,0,0,0,0.008620689655172414,206.8941798941799,66.3482280431433,24.486902927580893,0.014354066985645933,2
cef4bf7ca97de5c84444b1a3feda73d65d506267,0.0,em andamento,0.6667,6,0,Estruturante,CENIN,3,2016,17.13932980599647,0,0,0,0.008298755186721992,206.8941798941799,66.3482280431433,24.486902927580893,0.013761467889908258,2
b8113633cf2b155502463f7108347a486910026a,0.0,cancelado,,0,0,Estruturante,CENIN,3,2016,17.13932980599647,0,0,0,0.008298755186721992,206.8941798941799,66.3482280431433,24.486902927580893,0.013761467889908258,2
cef4bf7ca97de5c84444b1a3feda73d65d506267,0.0,sem relatório,0.6667,6,0,Estruturante,CENIN,4,2016,1.0,0,0,0,0.007633587786259542,152.0,66.3482280431433,24.486902927580893,0.012552301255230125,2
b8113633cf2b155502463f7108347a486910026a,0.0,cancelado,,0,0,Estruturante,CENIN,4,2016,17.13932980599647,0,0,0,0.007633587786259542,206.8941798941799,66.3482280431433,24.486902927580893,0.012552301255230125,2
cef4bf7ca97de5c84444b1a3feda73d65d506267,0.0,em andamento,0.6667,6,0,Estruturante,CENIN,5,2016,27.0,0,0,0,0.007380073800738007,96.0,66.3482280431433,24.486902927580893,0.012096774193548387,2
b8113633cf2b155502463f7108347a486910026a,0.0,cancelado,,0,0,Estruturante,CENIN,5,2016,17.13932980599647,0,0,0,0.007380073800738007,206.8941798941799,66.3482280431433,24.486902927580893,0.012096774193548387,2
cef4bf7ca97de5c84444b1a3feda73d65d506267,0.0,em andamento,0.6667,6,0,Estruturante,CENIN,6,2016,29.0,0,0,0,0.007142857142857143,127.0,66.3482280431433,24.486902927580893,0.011673151750972763,1
cef4bf7ca97de5c84444b1a3feda73d65d506267,0.0,em andamento,0.6667,6,0,Estruturante,CENIN,7,2016,17.13932980599647,0,0,0,0.006968641114982578,206.8941798941799,66.3482280431433,24.486902927580893,0.011363636363636364,1
cef4bf7ca97de5c84444b1a3feda73d65d506267,-1.0,sem relatório,0.6667,6,0,Estruturante,CENIN,8,2016,10.0,0,0,0,0.006802721088435374,85.0,66.3482280431433,24.486902927580893,0.01107011070110701,1
e8dac1ce177b23b488afb9323ffda70647726187,0.0,não iniciado,,3,0,Estruturante,CENIN,6,2015,17.13932980599647,0,0,0,0.009009009009009009,206.8941798941799,66.3482280431433,24.486902927580893,0.011363636363636364,1
e8dac1ce177b23b488afb9323ffda70647726187,0.0,não iniciado,,3,0,Estruturante,CENIN,7,2015,17.13932980599647,0,0,0,0.009009009009009009,206.8941798941799,66.3482280431433,24.486902927580893,0.011363636363636364,2
b78d0069377b3613db0fc5b584c4662ede5a1d52,0.0,não iniciado,1.0,5,1,Estruturante,CENIN,7,2015,17.13932980599647,0,0,0,0.009009009009009009,206.8941798941799,66.3482280431433,24.486902927580893,0.011363636363636364,2
e8dac1ce177b23b488afb9323ffda70647726187,0.0,em andamento,,3,0,Estruturante,CENIN,8,2015,17.13932980599647,0,0,0,0.008264462809917356,206.8941798941799,66.3482280431433,24.486902927580893,0.01020408163265306,2
b78d0069377b3613db0fc5b584c4662ede5a1d52,0.0,não iniciado,1.0,5,1,Estruturante,CENIN,8,2015,17.13932980599647,0,0,0,0.008264462809917356,206.8941798941799,66.3482280431433,24.486902927580893,0.01020408163265306,2
e8dac1ce177b23b488afb9323ffda70647726187,0.0,em andamento,,3,0,Estruturante,CENIN,9,2015,30.0,0,0,0,0.007462686567164179,458.0,66.3482280431433,24.486902927580893,0.009009009009009009,3
e8dac1ce177b23b488afb9323ffda70647726187,0.0,em andamento,,3,0,Estruturante,CENIN,9,2015,4.0,0,0,0,0.007462686567164179,484.0,66.3482280431433,24.486902927580893,0.009009009009009009,3
b78d0069377b3613db0fc5b584c4662ede5a1d52,0.0,não iniciado,1.0,5,1,Estruturante,CENIN,9,2015,17.13932980599647,0,0,0,0.007462686567164179,206.8941798941799,66.3482280431433,24.486902927580893,0.009009009009009009,3
e8dac1ce177b23b488afb9323ffda70647726187,0.0,suspenso,,3,0,Estruturante,CENIN,10,2015,17.13932980599647,0,0,0,0.00625,206.8941798941799,66.3482280431433,24.486902927580893,0.0072992700729927005,2
b78d0069377b3613db0fc5b584c4662ede5a1d52,0.0,não iniciado,1.0,5,1,Estruturante,CENIN,10,2015,17.13932980599647,0,0,0,0.00625,206.8941798941799,66.3482280431433,24.486902927580893,0.0072992700729927005,2
e8dac1ce177b23b488afb9323ffda70647726187,1.0,suspenso,,3,0,Estruturante,CENIN,11,2015,5.0,0,0,0,0.005434782608695652,422.0,66.3482280431433,24.486902927580893,0.006211180124223602,2
b78d0069377b3613db0fc5b584c4662ede5a1d52,0.0,não iniciado,1.0,5,1,Estruturante,CENIN,11,2015,17.13932980599647,0,0,0,0.005434782608695652,206.8941798941799,66.3482280431433,24.486902927580893,0.006211180124223602,2
e8dac1ce177b23b488afb9323ffda70647726187,1.0,suspenso,,3,0,Estruturante,CENIN,12,2015,17.13932980599647,1,0,0,0.00966183574879227,206.8941798941799,66.3482280431433,24.486902927580893,0.010869565217391304,2
b78d0069377b3613db0fc5b584c4662ede5a1d52,0.0,não iniciado,1.0,5,1,Estruturante,CENIN,12,2015,17.13932980599647,0,0,0,0.004830917874396135,206.8941798941799,66.3482280431433,24.486902927580893,0.010869565217391304,2
e8dac1ce177b23b488afb9323ffda70647726187,0.0,suspenso,,3,0,Estruturante,CENIN,1,2016,17.13932980599647,1,1,0,0.013392857142857142,206.8941798941799,66.3482280431433,24.486902927580893,0.014925373134328358,2
b78d0069377b3613db0fc5b584c4662ede5a1d52,0.0,não iniciado,1.0,5,1,Estruturante,CENIN,1,2016,17.13932980599647,0,0,0,0.004464285714285714,206.8941798941799,66.3482280431433,24.486902927580893,0.014925373134328358,2
e8dac1ce177b23b488afb9323ffda70647726187,0.0,suspenso,,3,0,Estruturante,CENIN,2,2016,17.13932980599647,0,0,0,0.01293103448275862,206.8941798941799,66.3482280431433,24.486902927580893,0.014354066985645933,2
b78d0069377b3613db0fc5b584c4662ede5a1d52,0.0,sem relatório,1.0,5,1,Estruturante,CENIN,2,2016,17.13932980599647,0,0,0,0.004310344827586207,206.8941798941799,66.3482280431433,24.486902927580893,0.014354066985645933,2
e8dac1ce177b23b488afb9323ffda70647726187,0.0,suspenso,,3,0,Estruturante,CENIN,3,2016,17.13932980599647,0,0,0,0.012448132780082987,206.8941798941799,66.3482280431433,24.486902927580893,0.013761467889908258,2
b78d0069377b3613db0fc5b584c4662ede5a1d52,0.0,em andamento,1.0,5,1,Estruturante,CENIN,3,2016,28.0,0,0,0,0.004149377593360996,278.0,66.3482280431433,24.486902927580893,0.013761467889908258,2
e8dac1ce177b23b488afb9323ffda70647726187,0.0,suspenso,,3,0,Estruturante,CENIN,4,2016,17.13932980599647,0,0,0,0.011450381679389313,206.8941798941799,66.3482280431433,24.486902927580893,0.012552301255230125,2
